COUNTRY_NAME,DESIGNATION,OFFICIAL_NAME,OFFICIAL_NAME_URL
British Indian Ocean Territory,Minister,Zac Goldsmith,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Official_portrait_of_Lord_Goldsmith_of_Richmond_Park_crop_2.jpg/220px-Official_portrait_of_Lord_Goldsmith_of_Richmond_Park_crop_2.jpg
Brunei Darussalam,Sultan,Hassanal Bolkiah,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Hassanal_Bolkiah%2C_October_2021.jpg/220px-Hassanal_Bolkiah%2C_October_2021.jpg
Brunei Darussalam,Crown Prince,Al-Muhtadee Billah,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Al-Muhtadee_Billah_on_21_July_2022_01.jpg/220px-Al-Muhtadee_Billah_on_21_July_2022_01.jpg
Bulgaria,President,Rumen Radev,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Rumen_Radev_official_portrait_%28cropped%29.jpg/220px-Rumen_Radev_official_portrait_%28cropped%29.jpg
Bulgaria,Vice President,Iliana Iotova,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Iliyana_Yotova.jpg/220px-Iliyana_Yotova.jpg
Bulgaria,Prime Minister,Galab Donev,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Galab_Donev_full_portrait%2C_2021.jpg/220px-Galab_Donev_full_portrait%2C_2021.jpg
Bulgaria,Chairperson of the National Assembly,Vezhdi Rashidov,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Vezhdi-Razhidov.jpg/220px-Vezhdi-Razhidov.jpg
Burkina Faso,Interim President,Ibrahim Traoré,https://upload.wikimedia.org/wikipedia/commons/a/a1/Ibrahim_Traor%C3%A9_%28cropped%29.jpg
Burkina Faso,Prime Minister,Apollinaire Joachim Kyélem de Tambèla,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Apollinaire_Kyelem_de_Tamb%C3%A8la_%28cropped%29.png/220px-Apollinaire_Kyelem_de_Tamb%C3%A8la_%28cropped%29.png
Burundi,President,Évariste Ndayishimiye,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/%D0%AD%D0%B2%D0%B0%D1%80%D0%B8%D1%81%D1%82_%D0%9D%D0%B4%D0%B0%D0%B9%D0%B8%D1%88%D0%B8%D0%BC%D0%B8%D0%B5_%2818-02-2022%29_%28cropped%29.jpg/220px-%D0%AD%D0%B2%D0%B0%D1%80%D0%B8%D1%81%D1%82_%D0%9D%D0%B4%D0%B0%D0%B9%D0%B8%D1%88%D0%B8%D0%BC%D0%B8%D0%B5_%2818-02-2022%29_%28cropped%29.jpg
